4,Rasmus Andersson\anderra01,D,24,6-1,214,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478397.jpg
11,Mikael Backlund\backlmi01,C,31,6-0,200,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474150.jpg
29,Dillon Dube\dubedi01,C,22,5-10,183,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479346.jpg
38,Byron Froese\froesby01,C,29,6-1,202,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475278.jpg
13,Johnny Gaudreau\gaudrjo01,LW,27,5-9,165,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476346.jpg
42,Glenn Gawdin\gawdigl01,C,23,6-1,191,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478446.jpg
55,Noah Hanifin\hanifno01,D,24,6-3,215,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478396.jpg
58,Oliver Kylington\kylinol01,D,23,6-0,183,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478430.jpg
28,Elias Lindholm\lindhel01,C,26,6-1,195,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477496.jpg
17,Milan Lucic\lucicmi01,LW,32,6-3,231,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8473473.jpg
