34,Jake Allen\allenja01,G,30,6-2,203,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474596.jpg
17,Josh Anderson\anderjo05,RW,26,6-3,222,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476981.jpg
40,Joel Armia\armiajo01,RW,27,6-4,210,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476469.jpg
41,Paul Byron\byronpa01,LW,31,5-9,163,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474038.jpg
22,Cole Caufield\caufico01,RW,20,5-7,162,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8481540.jpg
8,Ben Chiarot\chiarbe01,D,29,6-3,225,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475279.jpg
92,Jonathan Drouin\drouijo01,LW,25,6-0,193,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477494.jpg
44,Joel Edmundson\edmunjo01,D,27,6-4,215,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476441.jpg
71,Jake Evans\evansja02,C/RW,24,6-1,185,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478133.jpg
11,Brendan Gallagher\gallabr01,RW,28,5-9,184,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475848.jpg
