60,Alex Barre-Boulet\barreal01,F,23,5-10,180,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479718.jpg
81,Erik Cernak\cernaer01,D,23,6-3,233,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478416.jpg
71,Anthony Cirelli\cirelan01,C,23,6-0,193,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478519.jpg
3,Fredrik Claesson\claesfr01,D,28,6-1,196,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476368.jpg
79-92,Ross Colton\coltoro01,C,24,6-0,202,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479525.jpg
52,Callan Foote\footeca01,D,22,6-3,209,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479984.jpg
77,Victor Hedman\hedmavi01,D,30,6-6,223,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475167.jpg
7,Mathieu Joseph\josepma01,RW,23,6-1,190,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478472.jpg
17,Alex Killorn\killoal01,C/LW,31,6-1,196,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8473986.jpg
86,Nikita Kucherov\kucheni01,RW,27,5-11,178,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476453.jpg
