49,Ivan Barbashev\barbaiv01,C,25,6-0,187,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477964.jpg
50,Jordan Binnington\binnijo01,G,27,6-1,174,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476412.jpg
41,Robert Bortuzzo\borturo01,D,31,6-4,216,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474145.jpg
13,Kyle Clifford\cliffky01,LW,30,6-2,211,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475160.jpg
72,Justin Faulk\faulkju01,D,28,6-0,217,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475753.jpg
35,Ville Husso\hussovi01,G,25,6-3,205,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478024.jpg
37,Klim Kostin\kostikl01,C/LW,21,6-3,212,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480011.jpg
47,Torey Krug\krugto01,D,29,5-9,186,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476792.jpg
25,Jordan Kyrou\kyroujo01,C,22,6-0,175,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479385.jpg
28,Mackenzie MacEachern\maceama01,LW,26,6-2,190,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476907.jpg
